,Energies with learning rate 0.001 1p 1d 1h,Energies with learning rate 0.01 1p 1d 1h,Energies with learning rate 0.019 1p 1d 1h,Energies with learning rate 0.027 1p 1d 1h,Energies with learning rate 0.036 1p 1d 1h,Energies with learning rate 0.045 1p 1d 1h,Energies with learning rate 0.054 1p 1d 1h,Energies with learning rate 0.062 1p 1d 1h,Energies with learning rate 0.071 1p 1d 1h,Energies with learning rate 0.08 1p 1d 1h
0,0.5000099284615459,0.49997672221203704,0.49999290097284094,0.5001527344630133,0.5000044358059345,0.5000268579895307,0.5000007101450009,0.4999551062595979,0.49993150286635607,0.5001451865102119
1,0.4999974588159042,0.4999742192129489,0.5000644338548832,0.49989562668448817,0.4999754086271692,0.5000051810477233,0.49999858152236537,0.4999641409877646,0.4999384201945606,0.500007309648888
2,0.4999827607580373,0.49997359241733474,0.5000132427150377,0.5001270499631583,0.499915441340924,0.5000006823081322,0.5000009386545091,0.4999891430098165,0.5001412978748119,0.5001004464516599
3,0.4999969594343619,0.5000118731867312,0.4999433623865799,0.4998823731453889,0.5000371433735682,0.5000144749276871,0.5000015815034768,0.5000900509324535,0.4999924351822853,0.49984070668445313
4,0.49998517414454735,0.499987285116091,0.49998300254577543,0.5001599693093637,0.49995448080465205,0.49998221382771424,0.49999869493179966,0.5000483385255236,0.5000332307163803,0.49996734886067706
5,0.4999894923789525,0.5001088614414645,0.5000416547693658,0.5001471820061136,0.49998892765285474,0.4999983643088629,0.49999823207450983,0.5000308838026816,0.50001594798072,0.49999696737643406
6,0.499999365716196,0.5000145677921845,0.5000831520461642,0.49996041266688407,0.49999728332752147,0.4999997722049822,0.49999929121783915,0.5000678859592452,0.49995965020340344,0.49999791583482117
7,0.5000095016491756,0.49998674082147837,0.49998673487669987,0.49995542965562745,0.4999927512903268,0.5000017002360654,0.49999957920734267,0.5000004200332644,0.49999817871709556,0.5000389441494212
8,0.4999920001531917,0.4998975089992581,0.49997902737260963,0.49998929079380294,0.4999843566737424,0.5000100678784938,0.5000002308796417,0.5000085607996925,0.5000271962642054,0.49995968359974413
9,0.49999553336852626,0.500030928715038,0.5000136906665082,0.5000005673784127,0.49998344161763125,0.49999664229460233,0.4999989361123522,0.499985506636276,0.5000387208815696,0.4999099789285542
