,Energies wirh learning rate: 0.001,Energies wirh learning rate: 0.09,Energies wirh learning rate: 0.179,Energies wirh learning rate: 0.267,Energies wirh learning rate: 0.356,Energies wirh learning rate: 0.445,Energies wirh learning rate: 0.534,Energies wirh learning rate: 0.622,Energies wirh learning rate: 0.711,Energies wirh learning rate: 0.8
0,0.49998746884293094,0.5000197826068997,0.5000410831145402,0.49996327474732116,0.4999719202443871,0.5000054473216994,0.4998492679020783,0.49994902877802205,0.49997439070622596,0.49999201172427227
1,0.49999369826209833,0.5000159596313144,0.49996508456269523,0.49997003397207956,0.499986045427689,0.5000178757564135,0.5000013188696624,0.4999927817223646,0.5000094903305067,0.5000013794867325
2,0.49999347633338864,0.5000170952886004,0.5000009191095363,0.4999905769525408,0.5000200564228888,0.5000114912812733,0.5000082606524028,0.5000005410585477,0.4999987260469356,0.49999995826044513
3,0.49999625694257993,0.4999937110107258,0.49999492575382665,0.49997222469374136,0.4999939003728073,0.5000053371179298,0.5000023291647483,0.5000025696382121,0.5000005557993713,0.500000079625671
4,0.4999893944437831,0.5000024609067687,0.5000052822246805,0.4999842043242328,0.5000014872364799,0.5000009553067457,0.5000005410909022,0.499998948657432,0.4999997893050255,0.49999999110330345
5,0.5000091118827803,0.5000103796459904,0.5000017940084114,0.4999962933080641,0.4999991392776201,0.4999993343091599,0.4999959703646911,0.5000002998126422,0.5000001279092339,0.49999999699372794
6,0.49997941208066515,0.5000026569637063,0.4999994331445278,0.5000001706667465,0.5000032679636911,0.49999768828947116,0.49999790736833494,0.49999997011766206,0.4999999088692135,0.5000000029410351
7,0.49999143723823497,0.5000059271108777,0.4999816491438887,0.5000070050876865,0.5000016388349576,0.5000009581759726,0.4999995149340745,0.5000000401902852,0.49999994867013475,0.4999999983974799
8,0.49998841231141095,0.49998353075359064,0.5000023042554665,0.4999995557168294,0.5000012233403474,0.5000002190484388,0.5000001909620052,0.49999995521612334,0.5000000176250353,0.5000000069927552
9,0.5000022180696536,0.5000018000355294,0.5000132550579175,0.5000003906645074,0.5000009563302673,0.5000000138838323,0.49999996863550916,0.49999999595244643,0.4999999898575512,0.5000000015027078
10,0.5000038045707255,0.5000267281334401,0.4999975749566134,0.49999997509933547,0.500000787428448,0.5000000504843544,0.5000000463678418,0.49999999649456933,0.499999932332952,0.49999999916525023
11,0.5000164034814633,0.4999923819193176,0.5000040792562167,0.4999984769881042,0.4999998129719016,0.5000000080365765,0.5000000093252485,0.49999999879444723,0.5000000465558527,0.5000000038628456
12,0.500005563389717,0.49999684635815994,0.5000022610227464,0.5000006142011469,0.4999999631949482,0.5000000034703646,0.4999999898960028,0.4999999994575026,0.4999999693433706,0.4999999962143106
13,0.5000205341080195,0.5000040239702427,0.4999990688516589,0.5000003127251472,0.49999996027870786,0.4999999997259673,0.49999999865015543,0.5000000019788274,0.5000000575015925,0.5000000025682924
14,0.5000104858765521,0.5000161057140012,0.49999946415105223,0.5000008109452014,0.5000001562646366,0.49999997528992024,0.4999999949623213,0.5000000001659974,0.4999999886613774,0.5000000041047673
