,Energies wirh learning rate: 0.001,Energies wirh learning rate: 0.09,Energies wirh learning rate: 0.179,Energies wirh learning rate: 0.267,Energies wirh learning rate: 0.356,Energies wirh learning rate: 0.445,Energies wirh learning rate: 0.534,Energies wirh learning rate: 0.622,Energies wirh learning rate: 0.711,Energies wirh learning rate: 0.8
0,3.2564292782049744,3.1741291005745342,3.3311928964562134,3.2853633335181684,3.253044441423662,3.2759258061994867,3.249808659619959,3.1903716524896093,3.214316756161785,3.239057745308462
1,3.2254774279370775,3.298923509115191,3.320598733527038,3.2542622645700647,3.237786839656217,3.2740782561399793,3.1972561710694394,3.264163929915961,3.19174848361729,3.229817536418085
2,3.2601395822570907,3.2336673674643976,3.3617918162925386,3.3176204084332683,3.194578704574516,3.2774286936123964,3.220187120442393,3.2894294752734976,3.289148200280572,3.218541702604789
3,3.2668412881809794,3.323919483197838,3.2613128158781617,3.2577836017886987,3.2381086202965856,3.3333016708344707,3.2258817228540773,3.2402201113022158,3.2470629476372292,3.180951519905488
4,3.2876568916415976,3.264077866303146,3.2338043189361936,3.258707911407412,3.2653154307023855,3.2083661192279704,3.304031076320287,3.2617296351086233,3.2176397285622156,3.2066758441330134
5,3.2876722916970436,3.245823998513003,3.2944800273294574,3.262154652902105,3.1991255646791497,3.228040162973937,3.21398679833867,3.2767167205360574,3.2829848981735608,3.1887665933098575
6,3.3152037894973807,3.279243755812256,3.2290812367495634,3.2474764698227188,3.2710396966136437,3.227125483705469,3.2292059855461894,3.277283419309264,3.2569323641105488,3.182236952936234
7,3.191931009004729,3.2817738485901558,3.250977688219621,3.220511448096363,3.250291865827674,3.2274332921724134,3.277925675420042,3.2744113842982614,3.192809509754811,3.292896864090933
8,3.2216941168407147,3.1960106386316807,3.251539180761177,3.271187963430594,3.225570256320866,3.3096426219256085,3.289502370838465,3.2437155891930955,3.3013237417978627,3.2610391054075754
9,3.2830990851825743,3.331183334501526,3.1889473379726407,3.200822983394205,3.272172621040732,3.2919443977636482,3.2421410143706164,3.216121411657315,3.3281286492909747,3.2683273632990497
10,3.1980073044937365,3.262040223287963,3.2083208453306735,3.239284002184013,3.2026985779601986,3.273902525615256,3.2443146074735396,3.189148162242213,3.1936083211646964,3.242468844381578
11,3.2636877814939953,3.2271259471429894,3.334512810458425,3.1977577711326868,3.2490416228287353,3.3168356240919414,3.254850348886411,3.228702144627555,3.276702178092959,3.2338590259840876
12,3.2385657735238595,3.262433857127459,3.200621644328162,3.271567848084929,3.2463250173347005,3.222731695042582,3.2155958018775856,3.211425817813393,3.257947866364998,3.245308595830235
13,3.2681667723107557,3.236022428733453,3.276435215999512,3.2892010591047125,3.2292302835037683,3.197596168790861,3.2718102967976503,3.216449010824028,3.3191524416675864,3.2414958670205167
14,3.224574181377564,3.2109766811878866,3.2933221201188543,3.2587217650192892,3.2444700494878043,3.2016341364169003,3.2599591071773766,3.305714939955557,3.2590348100521123,3.2153207746886956
15,3.2896965050726283,3.235579419186802,3.230649021385032,3.280772478924677,3.256468003638415,3.2256586498246342,3.2501801127321532,3.21450428854435,3.2453133154480756,3.2541653629490384
16,3.2496150269013557,3.2481218737401525,3.2971109942339214,3.1901108445376907,3.260238974825418,3.313345869862217,3.252727970406657,3.1669383223551666,3.239961797751868,3.2144234438948085
17,3.226484640539891,3.2501826348482585,3.282839884342594,3.2727266897133833,3.2146596603451023,3.2351262012154636,3.3308588940134496,3.284331671452999,3.2095504044680747,3.2568965133865726
18,3.2688689452402078,3.244204841044808,3.267814597028723,3.20626257410709,3.223278356571461,3.2171749298222343,3.2476492449208725,3.188926940489628,3.2679162483278015,3.213450115146761
19,3.248941182604221,3.2998708799279264,3.265894046017172,3.151084841905119,3.2601973936266773,3.319766665447648,3.215643137499886,3.261645714719212,3.2061065916091427,3.1972499843674234
20,3.2885011960067043,3.2835338348809637,3.259871445283583,3.2390201544987023,3.2019052151440848,3.321674007299226,3.276153978675688,3.2261597723261337,3.2264197732599236,3.265450740548879
21,3.258942795580518,3.3025015715920207,3.296836236892319,3.311508993461193,3.1453684121439673,3.211362537183068,3.229754110694762,3.2678805148167083,3.2357353503391932,3.232569464438694
22,3.2251447300214418,3.203095613894272,3.252411745814946,3.233351104076851,3.279960863606109,3.222244249099159,3.2542214609925484,3.2415918139014948,3.2244011951411484,3.21925263567508
23,3.2335822799250207,3.254809452486968,3.2393146286112797,3.2008089016239794,3.326442007393676,3.3314706295316916,3.2384622142469754,3.245006708552032,3.2211782858358107,3.221884897646457
24,3.263655700404245,3.3050913970291775,3.2401193285883614,3.2152631925672797,3.2147019449038,3.1987655477541828,3.2583185323259296,3.255014402496449,3.2627725536578995,3.215212891512472
25,3.2697706837458402,3.2122314768675513,3.267799119446911,3.2599350240745117,3.1795986605271227,3.222205239714878,3.2403868196199963,3.3326924182438065,3.2435853339248166,3.2839615310484653
26,3.2699270106336793,3.2649056711446356,3.26997476241856,3.304417041282593,3.2628271154343667,3.2452547203546485,3.244116244859925,3.243144969215331,3.234146402748666,3.2270856068521048
